Gene
V1000037
V1000040
V1000044
V1000050
V1000069
V1000074
V1000079
V1000081
V1000082
V1000093
V1000101
V1000102
V1000132
V1000168
V1000301
V1000313
V1000318
V1000486
V1000500
V1000503
V1000519
V1000526
V1000527
V1000533
V1000549
V1000551
V1000594
V1000601
V1000630
V1000633
V1000634
V1000643
V1000823
V1000831
V1000846
V1000848
V1001468
V1002229
V1018798
V1031201
V1035706
V1038263
V1046766
V1046767
V1057876
V1064785
V1065343
V1066648
V1073576
V1138581
V1143377
V1145034
V1149298
V1150958
V1162245
V1162881
V1162988
V1164541
V1164548
V1164659
V1256354
V1262746
V1269254
V1295109
V1299127
V1299927
V1301214
V1301943
V1302572
V1337590
V1356248
V1362252
V1362258
V1362340
V1365094
V1369981
V1390625
V1391995
V1420563
V1420585
V1423289
V1430377
V1439637
V1440538
V1445347
V1445426
V1445551
V1450117
V1481797
V1482789
V1483972
V1503139
V1503141
V1503164
V1503189
V1533274
V1541133
V1541135
V1552718
V1552777
V1553617
V1553706
V1553747
V1554840
V1565357
V1567200
V1576462
V1580706
V1580736
V1582780
V1592880
V1592983
V1607271
V1607575
V1684088
V1684119
V1684135
V1684181
V1684188
V1799409
V1806797
V1807929
V1807930
V1808158
V1819426
V1834832
V1834849
V1836815
V1836820
V1851961
V1851965
V1851983
V1852085
V1852111
V1852140
V1872749
V1872750
V1885045
V1886582
